"orig.ident","Treatment","Cell_Annotation","Seurat_Clusters","UMAP_1","UMAP_2"
"Vehicle","Vehicle_Tumor","Naive","1",9.12748212010865,1.93132106900302
"Vehicle","Vehicle_Tumor","Naive","1",6.22064561040406,-1.49214501738461
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-1.87708478777404,-6.05091436266812
"Vehicle","Vehicle_Tumor","Effector_Memory","4",4.32681006581788,1.16767214179126
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.38556271402831,2.09028224587528
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.17815237848754,-1.32054896712216
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.29256087152953,-1.23446221709164
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.959654804158164,-7.00467212557705
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.80669146387572,-1.3208006179324
"Vehicle","Vehicle_Tumor","Better_Effector","3",-1.37840246765609,1.23996762871829
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.39580720274444,-6.53365238070401
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.298895459461165,-7.46810682177456
"Vehicle","Vehicle_Tumor","Stem_Like","8",3.83183926732545,-0.536905423401914
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.65356665461059,-0.937981561421476
"Vehicle","Vehicle_Tumor","Exhausted","2",0.647572700095224,-5.39500148653897
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.56463414041991,-1.34419329523953
"Vehicle","Vehicle_Tumor","Stem_Like","8",-0.0191909929990297,-6.73411805987271
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.07806831209655,-5.84019477724942
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.74946170656676,-6.13416393160733
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.196496438074065,-8.1328831470004
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.44461708872314,-0.973450258969389
"Vehicle","Vehicle_Tumor","Naive","6",9.68392438085084,4.06454078793613
"Vehicle","Vehicle_Tumor","Naive","11",5.74826115758424,4.31127636075107
"Vehicle","Vehicle_Tumor","Exhausted","2",-6.2509272655725,-0.542741135357939
"Vehicle","Vehicle_Tumor","Naive","1",8.74405163915162,0.360698520542063
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.86653738825316,-0.479648784398161
"Vehicle","Vehicle_Tumor","Naive","1",6.20778340489869,-1.97184880137356
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.62902432291503,3.81903426289646
